TIME,Sensor_0,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8,Sensor_9,Sensor_10,Sensor_11,Sensor_12,Sensor_13,Sensor_14,Sensor_15,Sensor_16,Sensor_17,Sensor_18,Sensor_19,Sensor_20,Sensor_21,Sensor_22,Sensor_23,Sensor_24,Sensor_25,Sensor_26,Sensor_27,Sensor_28,Sensor_29,Sensor_30,Sensor_31,Sensor_32,Sensor_33,Sensor_34,Sensor_35,Sensor_36,Sensor_37,Sensor_38,Sensor_39,Sensor_40,Sensor_41,Sensor_42,Sensor_43,Sensor_44,Sensor_45,Sensor_46,Sensor_47,Sensor_48,Sensor_49,Sensor_50,Sensor_51,Sensor_52,Sensor_53,Sensor_54,Sensor_55,Sensor_56,Sensor_57,Sensor_58,Sensor_59,Sensor_60,Sensor_61,Sensor_62,Sensor_63,Sensor_64,Sensor_65,Sensor_66,Sensor_67,Sensor_68,Sensor_69,Sensor_70,Sensor_71,Sensor_72,Sensor_73,Sensor_74,Sensor_75,Sensor_76,Sensor_77,Sensor_78,Sensor_79,Sensor_80,Sensor_81,Sensor_82,Sensor_83,Sensor_84,Sensor_85,Sensor_86,Sensor_87,Sensor_88,Sensor_89,Sensor_90,Sensor_91,Sensor_92,Sensor_93,Sensor_94,Sensor_95,Sensor_96,Sensor_97,Sensor_98,Sensor_99,Sensor_100,Sensor_101,Sensor_102,Sensor_103,Sensor_104,Sensor_105,Sensor_106,Sensor_107,Sensor_108,Sensor_109,Sensor_110,Sensor_111,Sensor_112,Sensor_113,Sensor_114,Sensor_115,Sensor_116,Sensor_117,Sensor_118,Sensor_119,Sensor_120,Sensor_121,Sensor_122,Sensor_123,Sensor_124,Sensor_125,Sensor_126,Sensor_127,X,Y,Z,PPG,RSP
200,7389,44578,10660,38190,57043,45109,29635,33371,8437,59487,11978,27187,41844,15758,9380,7725,57695,7245,12252,24862,19056,51920,48504,63932,40086,58032,57587,2392,24880,47115,40578,24876,215,824,35731,19902,55987,5346,64681,52728,29306,65381,40543,19946,51799,7384,47423,11910,40403,62460,51002,36922,18105,42845,32159,32477,8472,28181,3682,43878,50729,52590,50080,46477,45578,50890,59572,27613,38093,28309,65106,60888,59598,62622,37842,39692,25429,25634,28224,48419,61466,25629,50960,33750,17009,17126,29506,1402,34395,29674,14432,6652,5420,37871,61283,13801,33658,53752,10001,59232,59950,11206,59428,41142,4147,14974,21679,24161,8295,44637,22570,57050,45115,47669,20825,28319,8796,46275,61404,44298,14684,48419,64446,2239,3064,4966,11167,5854,72,153,238,-1.6460288676446049,0.14083570320906405
220,10631,24456,30693,39352,31969,43162,6025,33928,31625,1567,24416,21659,25018,37129,21246,43456,51998,46996,36652,18416,19877,59903,27783,43334,23127,46818,41027,61825,16534,42581,22663,55206,12117,49759,24529,43448,62142,17233,25278,63385,17239,57733,28373,21242,35555,44627,7864,45433,13222,39383,56940,58421,56640,42182,44481,37310,30289,22170,52457,46691,10102,40216,21782,6430,25426,18510,49884,34734,40031,40791,17860,46542,23093,11908,25991,18021,9249,46372,61722,45599,64065,17777,31985,4596,40784,18147,8913,39923,19353,23418,11825,52007,59725,30164,19913,16827,16144,60313,33423,3509,59647,9852,51604,45615,50498,51611,63361,14187,3653,38354,31736,47813,50556,18102,9830,53873,19125,14195,26130,18122,55847,8842,39269,10977,7434,19163,26662,59179,102,20,49,-2.876819841542695,0.15232178132273247
240,304,62705,25928,36298,22623,46343,41347,58482,9424,29180,21995,45010,12385,27464,201,49296,4147,11386,25872,51496,27763,40439,53294,64454,20237,8037,41546,39927,4503,49312,20143,53149,2777,57652,57046,64845,10309,35361,12852,27116,57887,39734,35935,42059,37544,53745,20176,60979,9963,8704,14082,52167,54300,44717,63841,16577,3417,24633,49574,26422,45275,18784,62355,45137,35083,56839,22072,1341,3775,58328,9989,56848,7846,38002,53529,48769,13542,7534,30924,23849,10097,10296,5462,58079,42363,3291,45086,23966,36258,54536,11292,30503,16290,16754,56328,48703,31942,38049,58082,25299,53549,34720,32510,14116,44064,42963,54087,34933,48377,20119,27934,1346,44371,19315,61471,6118,34167,14698,2064,56469,1811,58482,9058,9689,24598,41997,49133,21575,105,217,81,-2.5133733911271507,0.16397715452736958
260,47978,12128,46753,61527,19774,62433,54334,59208,6194,62271,31337,2795,62976,11572,5048,12162,47162,45939,22793,22152,15198,32175,57269,26025,43352,54096,5646,15004,20842,12870,29546,12860,39461,61129,26358,13495,46896,5326,36809,41301,62451,50220,62402,60658,8305,63375,59260,40317,6106,36834,34210,55000,32712,22715,27950,45289,35682,24242,15512,22485,40980,53969,34438,21566,1292,41196,61036,3033,12679,22303,62316,48100,31625,31868,49596,34260,51735,55212,10023,22807,41617,41650,17973,63808,61516,33098,24848,8756,16713,7187,17014,44363,53026,37970,64677,7067,653,9616,52231,42694,10777,15541,58297,27693,50861,42889,51838,52041,36522,5125,46245,62888,40730,50683,2010,47100,26549,54831,40333,53347,63579,44143,37981,25106,17823,31304,11217,10193,176,206,2,-1.0917423582980539,0.17580462200627034
280,42797,36741,7651,44937,58972,24136,42591,57475,12317,57445,45046,51774,44875,47373,41322,38817,52841,12985,45079,22318,41025,21565,52481,23968,4384,43993,35637,6566,54371,2700,36566,60454,28760,31631,30908,26854,26005,60413,9123,56615,53635,56043,64246,63344,25337,24936,64807,32594,51542,10564,14702,4866,46648,15098,14564,4939,28262,20279,5971,16306,7411,37191,62866,10294,54621,38639,64229,22398,42914,52257,20098,22344,1114,9428,52762,55541,47582,65154,37365,12394,35271,49689,39308,628,35711,38539,62055,63494,19253,34139,24213,59336,33402,5507,56168,63005,23060,45127,39915,56719,12220,13764,9775,47858,55550,26837,53652,10877,15671,10331,25623,25817,9692,50151,26290,64668,54074,17632,54583,64867,17894,33834,24667,61396,9494,64167,52712,35281,93,161,81,0.6122928361986145,0.18769442056039085
300,58263,14335,64806,46928,49880,56138,35303,25790,16037,19112,51710,45656,5803,21035,56516,63219,63883,24651,62436,6393,1744,3309,45695,48322,65162,27891,50165,13527,11154,15659,8084,59208,37512,15484,18181,4170,28841,19007,17318,1080,26889,24656,8399,56549,41501,13907,8517,46186,33652,40470,10121,31544,45319,33334,56274,12732,23753,54770,44199,62099,40786,18577,43985,39252,35277,44424,13921,23172,40049,41542,539,30183,64932,62020,27413,41052,28214,36599,7700,54323,30034,59830,46217,53711,34357,20068,33637,32456,25990,63992,303,50084,38685,63931,26081,40022,59865,16028,30602,65460,11543,52169,19576,60380,23150,32730,26853,13127,25616,284,55064,28151,64240,21363,56898,63487,30820,34346,18153,12546,524,50118,61048,20330,23136,41031,43269,8310,26,132,200,1.605845668362561,0.19966003279700156
320,32383,5834,60387,63279,20712,37677,20164,30448,42253,30822,25464,19075,46248,63417,2045,55809,37847,16392,32440,770,28268,4747,32527,2429,60768,3837,18841,15528,23045,38007,55353,33348,20173,3692,21209,5737,3189,29981,53512,40200,13274,59173,48961,35632,16729,63560,10419,24251,39278,31595,16761,24246,41598,2462,64920,41222,45935,42582,15477,4384,29461,20211,7276,29205,46609,10642,28171,30880,43465,18393,5058,43073,61165,12370,62369,6098,1329,41029,9414,48618,38654,53329,14266,2,40511,11518,5299,37470,9002,38196,18883,52369,182,22706,23085,10216,26204,17438,29222,21214,3169,32722,2691,61056,12901,33810,24798,9783,44062,20553,6504,9613,50976,3967,5303,29157,36753,9329,61899,47962,10385,35774,8395,19566,64771,54425,23682,2407,232,74,26,1.4983422739286223,0.21159732129215722
340,14324,13772,46580,1120,29410,20344,44979,50690,37982,8841,51878,52903,47171,36641,51704,54517,38490,28579,23143,43894,28890,28704,10936,37198,17468,39705,37703,21105,56032,47626,45007,37018,8397,46279,43552,32680,9197,60598,8815,54171,35774,8558,65346,62571,14802,23753,24382,15308,13814,50113,4975,10839,54231,5736,48815,49977,14715,19422,15849,4119,22388,41614,65000,64103,10454,1754,58145,3289,64769,11509,33539,26098,57987,48854,30230,31072,52232,44881,55672,42470,8016,46771,32107,6240,21019,28670,26653,35037,64940,50806,51500,11075,290,52155,22862,50653,37166,51100,58641,42805,38495,56840,65373,3259,12392,32436,39444,16531,15404,5226,65144,5749,14839,12285,25175,19890,18430,38560,12373,33838,31203,63976,35515,61167,12722,57147,60810,59118,106,218,241,0.728870000648365,0.2236128171895352
360,40186,4789,62927,49009,6110,48113,3838,9135,58402,29595,44884,13961,63486,49411,60221,3969,48513,51841,53730,4495,36889,56556,61680,12406,19834,36412,19660,48533,43474,62484,56588,39592,30720,8266,15663,8799,61988,54751,1407,45581,55149,38706,12860,5342,40700,27172,19596,3979,46326,54112,41473,48661,37080,33582,30311,63775,21034,1687,45544,59751,9323,56685,52492,6163,13636,48140,62565,18676,52764,48795,5439,10405,24651,42169,30501,29689,33694,61455,11693,8650,60566,15567,30963,8174,60073,14395,31551,9031,20377,32548,32693,39170,24994,26605,44938,26051,65112,50491,60255,27141,63229,34508,29586,51761,57233,31076,27753,13682,14914,57651,38973,12282,43798,8917,26489,2155,32718,56416,31992,26086,48707,20283,4906,27090,6090,5329,5187,6986,71,2,87,-0.19275705543334673,0.23553434625598255
380,34742,12009,28502,7587,35791,2538,51092,59763,6579,21670,30066,15944,23880,56796,23872,61576,19534,35318,11962,52074,10234,20399,42694,49917,23920,23813,18932,24759,4524,7094,33302,42968,55939,6340,50082,3399,11441,33467,26828,31612,48384,28289,37303,56360,30808,38405,18160,25762,2385,41096,13143,51374,8486,36137,35369,15412,8674,1471,12047,6727,25661,12296,33443,23949,22718,35344,14178,6373,27606,25142,4821,49754,18878,12880,21875,48212,13516,59967,60782,32951,767,54508,50761,8545,43647,35959,19714,14649,16263,60626,28375,48535,55649,6325,41886,31701,796,39836,34317,42249,40841,4927,10641,42643,50794,19892,30491,38485,10013,60718,23087,24699,3664,50697,22107,25765,64008,64631,2732,63020,9367,20609,61663,37067,25291,27782,19750,309,99,17,58,-0.737788195105222,0.24741172397487662
400,18572,20108,3318,47125,18028,33729,40638,49937,60066,32287,18039,8624,24410,14135,36557,29945,38564,12897,4648,62928,9117,41418,26250,7890,13363,19489,7098,36077,22052,50837,32632,47068,42417,283,39940,25741,13002,35003,32270,58014,32290,30647,55212,21166,49540,17041,8674,17589,54129,2338,11895,16799,45271,47263,34158,31664,37965,26605,63125,27876,6371,59562,7969,22292,54095,11997,7310,7716,6163,4588,47249,5700,49639,31692,65348,50426,1051,52175,28589,62978,34017,3429,5939,20771,6000,46395,31965,25102,7197,9255,49956,46812,23922,56964,17620,3105,15409,58092,59331,38738,54139,43475,49033,24477,7487,65290,60852,27701,33005,29248,27007,12641,39941,59656,35946,5007,37719,50499,60898,37875,11353,22547,25704,32380,6639,54113,11646,10755,110,77,227,-0.6453892644779067,0.2592721185680334
420,52141,44015,2838,43632,11625,59754,38524,14132,33794,14469,20733,23648,19516,33484,14155,57749,7687,11954,1164,24690,10991,18469,24518,50056,31207,48903,36133,56136,40022,4523,10831,32856,15137,27342,18081,61615,23402,9536,59662,27181,60191,27727,5271,7399,20303,13455,36062,61498,64523,3963,35026,20012,60854,61729,49861,20680,24732,36329,7610,2590,25851,14554,37865,60128,23176,28422,3457,48535,1617,64239,18542,62788,60390,27062,55302,6976,20911,1405,29282,29266,32927,23085,14987,55160,13472,38704,25156,49106,18457,45967,46954,56744,16789,43955,2324,37914,16228,61991,41268,42963,64302,35986,17120,16936,59406,28851,39569,52698,31808,13756,50037,56184,39867,34386,57227,49367,4113,49969,17232,25287,50574,54813,34610,61584,28623,35866,39260,41726,225,145,62,-0.2415709960170497,0.2710595498248774
440,58550,4630,29664,65186,55213,56883,54435,13445,50873,53441,38056,33965,64427,17872,61201,51516,57405,55255,5633,52277,33333,52900,57715,36405,33684,39930,29402,42951,47147,11566,10207,39329,21638,38998,57651,19862,11363,3692,54829,8492,9276,24882,34287,55368,4615,43393,53737,26752,42736,29792,36281,51743,23096,51882,27955,29215,35868,49022,60161,4465,42054,62927,33135,23702,29988,50453,49843,27741,20857,53625,4691,65385,7542,7148,668,29648,45784,64313,37638,4765,4228,37244,30602,14663,36407,47226,44297,26227,37388,31678,42321,16398,7366,55062,22282,36471,65465,36619,49671,42169,36160,39952,9704,64370,61000,47345,12785,44605,47800,35340,18326,59925,40349,33500,34782,58685,65214,9987,32328,59452,49555,54212,2508,26349,50929,37845,16770,14003,109,145,90,0.1319796733835463,0.28281177078740777
460,57364,38690,2602,10988,23282,48692,2758,32588,40927,4808,12131,10147,47990,22934,46290,13391,33957,13916,18388,6920,2275,53743,2931,12562,13840,39600,42910,57813,2995,21602,22714,33179,9382,2200,27699,36160,47895,43089,8620,37227,15749,10744,56408,35765,57872,56568,31665,43842,690,26997,17650,57217,366,42048,233,5022,45413,2143,32959,55569,2963,37344,42852,19461,24103,20272,16304,49469,64911,41072,47746,25736,35906,25778,1122,17419,22715,17914,13326,27944,15763,25548,27446,13293,47176,39478,5204,58684,13085,54755,19590,58191,46733,20385,62546,57745,24090,19601,17340,1549,31870,42283,56979,56783,42712,63477,36614,30625,14884,51985,53742,18529,14430,30021,6274,29667,52000,25528,195,39668,6391,53485,39659,51546,64005,52251,38004,50675,92,174,83,0.3059132685242785,0.29451055717873875
480,37440,36786,20538,14882,14970,7495,24856,30003,45490,11208,24940,6600,29120,56296,15809,17005,7768,58223,6961,12360,28209,62772,56877,46088,53463,23298,56379,5362,103,49586,4434,49913,55621,55904,22091,63950,9906,9432,65068,34800,25003,55371,9234,13611,12272,58932,42500,4565,32346,26513,1429,36611,38759,28374,27144,1045,46634,3725,48289,18410,18791,25066,29136,53575,55442,59857,11780,34436,4648,53338,24619,13941,54071,63761,61719,59757,28229,19620,62229,34992,3464,35308,6486,55447,26732,62786,7977,63491,41138,8753,54908,5091,21291,13139,38862,21278,45786,6186,53433,595,10782,19092,42359,27476,4350,19078,19967,61502,35952,23026,56824,35105,15191,51844,11178,31355,27454,53707,27484,24522,44603,65357,43904,31830,28954,6224,6642,39815,233,185,140,0.20635310314694574,0.3061170535741708
500,49241,34047,65334,3995,26854,14181,48988,50243,12262,6675,35386,39262,60562,18332,9326,29468,34428,22887,37141,61519,57547,27951,34780,52847,26883,55441,13330,56184,54267,39095,27736,22506,17727,19588,51419,54477,9073,49148,58802,40342,13239,38076,35913,50146,8896,54271,21621,43157,37199,10998,52983,27674,61605,27266,3790,57847,8122,49622,35342,60584,28924,50112,32758,29107,54103,46306,58179,46334,35254,7348,38394,27280,15963,33689,37702,58936,20169,23287,54928,3815,39940,28098,54418,20079,30975,9223,52784,33639,41121,3574,14823,21607,59754,24245,731,36710,24148,12204,16787,14481,64056,20169,59025,50956,34840,12815,48546,31240,42127,23314,45740,55770,22142,50815,57879,28847,29259,6809,13317,31954,15334,42075,25714,23724,47003,7012,30619,34995,74,122,157,-0.0032785692940463865,0.3176403378261962
520,56913,1924,32389,9538,6492,50840,56617,63530,51566,56409,61000,50943,56056,54210,18695,762,1842,63321,18726,9888,178,12069,53819,13183,24074,61370,3224,57370,4389,797,15754,23823,53037,61608,36208,15989,13553,43523,37415,13902,64856,58829,13881,63020,64117,21373,43283,7980,60685,11192,32651,37054,26394,8369,48253,15195,13204,64067,42765,29931,27960,18043,6974,9272,4966,24879,41001,20646,42377,28264,46285,36153,21186,55725,43325,57590,49525,51838,36326,15635,28983,4438,26253,20123,36176,11495,38621,26464,642,25492,32055,8559,50331,59664,53183,4264,7318,65474,38539,62584,39245,33132,31780,63474,51269,26640,4577,27039,57311,41732,56972,60218,21367,41451,1488,55231,1494,14112,53941,30129,40914,38549,38537,53304,34199,41709,27195,44858,14,19,19,-0.1392485990285469,0.3289904376050611
540,44219,16749,3575,51030,6208,30047,18486,44734,48527,47355,11308,4828,15472,62649,50232,12733,8572,48146,47997,19927,56493,58075,49684,64579,33961,1310,35352,17847,40079,29923,6643,4771,15985,10380,16311,257,7203,18450,30343,26177,12435,61242,24569,11324,30282,14931,61474,34132,55875,24172,33436,56945,32044,3642,48791,48342,12451,48860,34134,63699,21548,24374,39457,47634,40116,3166,21569,61415,63949,44533,11028,5132,31665,55921,2844,21900,14371,27395,8733,12135,49154,45777,27882,44720,9829,55724,52066,19506,339,1049,41313,63688,7598,58458,19538,49247,16370,32741,9727,43602,42094,35818,50029,27102,13060,2938,4588,40018,7106,51790,8926,27685,15965,45455,10095,29036,52968,29564,53477,41817,39638,47741,30863,62419,65211,19171,9911,8397,244,115,64,-0.17487677450211045,0.3402815422418367
560,44834,21167,62881,48148,10722,18094,5692,49017,53728,23374,48020,10220,60468,27329,64792,24165,6325,24903,55838,53690,39034,41650,24014,21636,59474,41703,52372,23969,33831,4481,27688,30100,18023,40118,65307,36177,14381,61190,57975,53018,53258,45021,51950,35029,24060,22262,24372,31684,62515,47165,34205,56589,63508,49509,29002,54847,35201,16509,41870,29488,18500,3884,58295,31856,29029,12572,4749,9025,26166,27198,47451,4430,19026,45280,52317,16158,58836,17733,8200,703,39507,44819,42216,52417,50517,37387,4932,15920,63832,32025,4082,65235,20779,15884,45120,44977,39229,25051,56480,2700,44499,25204,32953,44112,32907,13275,61366,40341,13393,41550,42116,57154,50568,33646,28800,18303,5933,26015,51846,37197,56930,31660,10761,6157,21713,29824,28057,19343,124,48,32,-0.1344414274621923,0.35138822836857647
